,Ingredient,Normalized,Name of Dish
0,old fashioned oats,oat,Tropical Granola
1,hemp seeds,seed,Tropical Granola
2,flax seeds,seed,Tropical Granola
3,dried cranberries,cranberries,Tropical Granola
4,dried pineapples,pineapple,Tropical Granola
5,coconut,coconut,Tropical Granola
6,vanilla extract,vanilla,Tropical Granola
7,salt,salt,Tropical Granola
8,coconut oil,coconut oil,Tropical Granola
9,maple syrup,maple syrup,Tropical Granola
10,honey,honey,Tropical Granola
11,package of sugar cookie dough,sugar,Mini Fruit Pizza
12,"Fruit for topping: canned mandarin oranges,",mandarin,Mini Fruit Pizza
13,"cream cheese,",cream cheese,Mini Fruit Pizza
14,corn starch,starch,Mini Fruit Pizza
15,"whipped topping,",,Mini Fruit Pizza
16,water,,Mini Fruit Pizza
17,powdered sugar,sugar,Mini Fruit Pizza
18,can crushed pineapple,pineapple,Mini Fruit Pizza
19,sugar,sugar,Mini Fruit Pizza
20,lemon juice,lemon juice,Mini Fruit Pizza
21,orange juice,orange juice,Mini Fruit Pizza
22,water,,Mini Fruit Pizza
23,corn starch,starch,Mini Fruit Pizza
24,thinly sliced beef,beef,Korean Beef Bowl
25,onion,onion,Korean Beef Bowl
26,soy sauce,soy sauce,Korean Beef Bowl
27,brown sugar,sugar,Korean Beef Bowl
28,garlic,garlic,Korean Beef Bowl
29,fresh ginger,ginger,Korean Beef Bowl
30,sesame oil,sesame oil,Korean Beef Bowl
31,black pepper,black pepper,Korean Beef Bowl
32,shredded carrots,carrot,Korean Beef Bowl
33,green beans,bean,Korean Beef Bowl
34,rice vinegar,vinegar,Korean Beef Bowl
35,sesame oil,sesame oil,Korean Beef Bowl
36,brown sugar,sugar,Korean Beef Bowl
37,Jasmine rice,jasmine,Korean Beef Bowl
38,water,,Korean Beef Bowl
39,salt,salt,Korean Beef Bowl
40,Gochujang sauce,,Korean Beef Bowl
41,scallions,scallion,Korean Beef Bowl
42,unsalted butter,butter,Peach Cobbler
43,sugar,sugar,Peach Cobbler
44,self rising flour,,Peach Cobbler
45,milk,milk,Peach Cobbler
46,almond extract,almond,Peach Cobbler
47,juice of 1/2 lemon,lemon,Peach Cobbler
48,cans peaches,peach,Peach Cobbler
49,salt,salt,Peach Cobbler
50,cinnamon,cinnamon,Peach Cobbler
51,butter,butter,Churro Cake
52,sugar,sugar,Churro Cake
53,light brown sugar,sugar,Churro Cake
54,eggs,egg,Churro Cake
55,egg yolks,egg,Churro Cake
56,grapeseed oil,rapeseed,Churro Cake
57,vanilla extract,vanilla,Churro Cake
58,all purpose flour,all purpose flour,Churro Cake
59,corn starch,starch,Churro Cake
60,baking powder,baking powder,Churro Cake
61,kosher salt,salt,Churro Cake
62,cinnamon,cinnamon,Churro Cake
63,buttermillk,butter,Churro Cake
64,pecans,pecan,Churro Cake
65,maple syrup,maple syrup,Churro Cake
66,kosher salt,salt,Churro Cake
67,cayenne pepper,cayenne,Churro Cake
68,white chocolate chips,chocolate chips,Churro Cake
69,light corn syrup,corn,Churro Cake
70,miso paste,,Churro Cake
71,kosher salt,salt,Churro Cake
72,plus 1 teaspoon light brown sugar,sugar,Churro Cake
73,heavy cream,heavy cream,Churro Cake
74,unsalted butter,butter,Churro Cake
75,all vegetable shortening,vegetable,Churro Cake
76,powdered sugar,sugar,Churro Cake
77,vanilla extract,vanilla,Churro Cake
78,cinnamon,cinnamon,Churro Cake
79,kosher salt,salt,Churro Cake
80,dark chocolate chips,chocolate chips,Churro Cake
81,white chocolate chips,chocolate chips,Churro Cake
82,heavy whipping cream,cream,Churro Cake
83,unsalted butter,butter,Triple Chocolate Cookies
84,sugar,sugar,Triple Chocolate Cookies
85,light brown sugar,sugar,Triple Chocolate Cookies
86,all purpose flour,all purpose flour,Triple Chocolate Cookies
87,corn starch,starch,Triple Chocolate Cookies
88,baking soda,baking soda,Triple Chocolate Cookies
89,salt,salt,Triple Chocolate Cookies
90,cocoa powder,cocoa,Triple Chocolate Cookies
91,vanilla extract,vanilla,Triple Chocolate Cookies
92,large eggs,egg,Triple Chocolate Cookies
93,Baker's semi-sweet chocolate,chocolate,Triple Chocolate Cookies
94,Hershey dark chocolate chips,chocolate chips,Triple Chocolate Cookies
95,Fairlife whole milk,milk,Easy Homemade Ice Cream
96,honey,honey,Easy Homemade Ice Cream
97,fresh blueberries,blueberries,Easy Homemade Ice Cream
98,large strawberries,strawberries,Easy Homemade Ice Cream
99,vanilla extract,vanilla,Easy Homemade Ice Cream
100,can diced tomatoes,tomato,Restaurant Style Blender Salsa
101,can fire roasted tomatoes,tomato,Restaurant Style Blender Salsa
102,garlic,garlic,Restaurant Style Blender Salsa
103,jalapeno,jalapeno,Restaurant Style Blender Salsa
104,honey,honey,Restaurant Style Blender Salsa
105,cumin,cumin,Restaurant Style Blender Salsa
106,large handful cilantro,cilantro,Restaurant Style Blender Salsa
107,juice of 1.5 limes,lime,Restaurant Style Blender Salsa
108,chicken breasts,chicken,Cheesy Chicken Lasagna
109,kosher salt,salt,Cheesy Chicken Lasagna
110,Pepper,pepper,Cheesy Chicken Lasagna
111,Italian seasoning,,Cheesy Chicken Lasagna
112,celery seed,celery,Cheesy Chicken Lasagna
113,reduced sodium chicken broth,chicken broth,Cheesy Chicken Lasagna
114,garlic,garlic,Cheesy Chicken Lasagna
115,butter,butter,Cheesy Chicken Lasagna
116,cans cream of celery soup,celery,Cheesy Chicken Lasagna
117,oregano,oregano,Cheesy Chicken Lasagna
118,Pepper,pepper,Cheesy Chicken Lasagna
119,chicken broth,chicken broth,Cheesy Chicken Lasagna
120,dehydrated onion,onion,Cheesy Chicken Lasagna
121,onion powder,onion,Cheesy Chicken Lasagna
122,~12 lasagna noodles,,Cheesy Chicken Lasagna
123,shredded mozzarella cheese,mozzarella cheese,Cheesy Chicken Lasagna
124,shredded cheddar cheese,cheddar cheese,Cheesy Chicken Lasagna
125,grated parmesan cheese,parmesan cheese,Cheesy Chicken Lasagna
126,of zucchini,zucchini,Zucchini Crust Pepperoni Pizza
127,all purpose flour,all purpose flour,Zucchini Crust Pepperoni Pizza
128,egg,egg,Zucchini Crust Pepperoni Pizza
129,Italian seasoning,,Zucchini Crust Pepperoni Pizza
130,kosher salt,salt,Zucchini Crust Pepperoni Pizza
131,pepper,pepper,Zucchini Crust Pepperoni Pizza
132,olive oil,olive oil,Zucchini Crust Pepperoni Pizza
133,jarred pizza sauce,,Zucchini Crust Pepperoni Pizza
134,pepperoni,pepper,Zucchini Crust Pepperoni Pizza
135,mixed mozzarella and cheddar cheeses,cheddar cheese,Zucchini Crust Pepperoni Pizza
136,shredded parmesan cheese,parmesan cheese,Zucchini Crust Pepperoni Pizza
137,dried parsley,parsley,Zucchini Crust Pepperoni Pizza
138,unsalted butter,butter,Baked Blueberry Cake Donuts
139,sugar,sugar,Baked Blueberry Cake Donuts
140,brown sugar,sugar,Baked Blueberry Cake Donuts
141,large eggs,egg,Baked Blueberry Cake Donuts
142,all purpose flour,all purpose flour,Baked Blueberry Cake Donuts
143,cornstarch,starch,Baked Blueberry Cake Donuts
144,almond flour,almond,Baked Blueberry Cake Donuts
145,baking powder,baking powder,Baked Blueberry Cake Donuts
146,salt,salt,Baked Blueberry Cake Donuts
147,cinnamon,cinnamon,Baked Blueberry Cake Donuts
148,milk,milk,Baked Blueberry Cake Donuts
149,frozen blueberries,blueberries,Baked Blueberry Cake Donuts
150,frozen or fresh blueberries,blueberries,Baked Blueberry Cake Donuts
151,sugar,sugar,Baked Blueberry Cake Donuts
152,powdered sugar,sugar,Baked Blueberry Cake Donuts
153,couscous,,Fresh Herb and Vegetable Couscous Salad
154,water,,Fresh Herb and Vegetable Couscous Salad
155,butter,butter,Fresh Herb and Vegetable Couscous Salad
156,salt,salt,Fresh Herb and Vegetable Couscous Salad
157,fresh basil,basil,Fresh Herb and Vegetable Couscous Salad
158,fresh oregano,oregano,Fresh Herb and Vegetable Couscous Salad
159,cucumber,cucumber,Fresh Herb and Vegetable Couscous Salad
160,baby tomatoes,tomato,Fresh Herb and Vegetable Couscous Salad
161,balsamic vinegar,vinegar,Fresh Herb and Vegetable Couscous Salad
162,olive oil,olive oil,Fresh Herb and Vegetable Couscous Salad
163,salt,salt,Fresh Herb and Vegetable Couscous Salad
164,pepper,pepper,Fresh Herb and Vegetable Couscous Salad
165,feta cheese crumbles,feta cheese,Fresh Herb and Vegetable Couscous Salad
166,ground beef,beef,Skillet Shepherd’s Pie
167,salt,salt,Skillet Shepherd’s Pie
168,black pepper,black pepper,Skillet Shepherd’s Pie
169,olive oil,olive oil,Skillet Shepherd’s Pie
170,large onion,onion,Skillet Shepherd’s Pie
171,stalks celery,celery,Skillet Shepherd’s Pie
172,garlic,garlic,Skillet Shepherd’s Pie
173,bag frozen mixed vegetables,vegetable,Skillet Shepherd’s Pie
174,tomato paste,tomato,Skillet Shepherd’s Pie
175,fresh rosemary,rosemary,Skillet Shepherd’s Pie
176,fresh thyme,thyme,Skillet Shepherd’s Pie
177,fresh oregano,oregano,Skillet Shepherd’s Pie
178,dried parsley,parsley,Skillet Shepherd’s Pie
179,worcestershire sauce,,Skillet Shepherd’s Pie
180,beef broth,beef broth,Skillet Shepherd’s Pie
181,all purpose flour,all purpose flour,Skillet Shepherd’s Pie
182,large russet potatoes,potato,Skillet Shepherd’s Pie
183,chicken broth,chicken broth,Skillet Shepherd’s Pie
184,sour cream,sour cream,Skillet Shepherd’s Pie
185,salt,salt,Skillet Shepherd’s Pie
186,pepper,pepper,Skillet Shepherd’s Pie
187,paprika,paprika,Skillet Shepherd’s Pie
188,grated cheddar cheese,cheddar cheese,Skillet Shepherd’s Pie
189,shaved parmesan cheese,parmesan cheese,Skillet Shepherd’s Pie
190,plus 6 tbsp all purpose flour,all purpose flour,Muddy Buddy Cupcakes
191,cornstarch,starch,Muddy Buddy Cupcakes
192,baking soda,baking soda,Muddy Buddy Cupcakes
193,salt,salt,Muddy Buddy Cupcakes
194,cocoa powder,cocoa,Muddy Buddy Cupcakes
195,sugar,sugar,Muddy Buddy Cupcakes
196,large egg,egg,Muddy Buddy Cupcakes
197,vegetable oil,vegetable oil,Muddy Buddy Cupcakes
198,vanilla,vanilla,Muddy Buddy Cupcakes
199,boiling water,,Muddy Buddy Cupcakes
200,buttermilk,buttermilk,Muddy Buddy Cupcakes
201,corn Chex,corn,Muddy Buddy Cupcakes
202,peanut butter,peanut butter,Muddy Buddy Cupcakes
203,milk chocolate chips,chocolate chips,Muddy Buddy Cupcakes
204,unsalted butter,butter,Muddy Buddy Cupcakes
205,powdered sugar,sugar,Muddy Buddy Cupcakes
206,unsalted butter,butter,Muddy Buddy Cupcakes
207,vegetable shortening,vegetable,Muddy Buddy Cupcakes
208,peanut butter,peanut butter,Muddy Buddy Cupcakes
209,powdered sugar,sugar,Muddy Buddy Cupcakes
210,salt,salt,Muddy Buddy Cupcakes
211,milk,milk,Muddy Buddy Cupcakes
212,milk chocolate chips,chocolate chips,Muddy Buddy Cupcakes
213,coconut or vegetable oil,vegetable oil,Muddy Buddy Cupcakes
214,powdered sugar,sugar,Muddy Buddy Cupcakes
215,"Fairlife milk (whole), divided",milk,Instant Pot Yogurt
216,sweetened condensed milk,milk,Instant Pot Yogurt
217,plain greek yogurt containing active live cultures,yogurt,Instant Pot Yogurt
218,ground turkey,turkey,Ground Turkey Pot Stickers
219,vegetable oil,vegetable oil,Ground Turkey Pot Stickers
220,fresh ginger,ginger,Ground Turkey Pot Stickers
221,fresh garlic,garlic,Ground Turkey Pot Stickers
222,onion,onion,Ground Turkey Pot Stickers
223,shredded carrots,carrot,Ground Turkey Pot Stickers
224,roasted red peppers,pepper,Ground Turkey Pot Stickers
225,Chinese 5 Spice,,Ground Turkey Pot Stickers
226,red pepper flakes,pepper,Ground Turkey Pot Stickers
227,salt,salt,Ground Turkey Pot Stickers
228,reduced sodium soy sauce,soy sauce,Ground Turkey Pot Stickers
229,~8 sheets of egg roll wrappers,egg,Ground Turkey Pot Stickers
230,Teriyaki Sauce or soy sauce for serving,soy sauce,Ground Turkey Pot Stickers
231,quinoa,,Quinoa Turkey Enchilada Stuffed Peppers
232,garlic,garlic,Quinoa Turkey Enchilada Stuffed Peppers
233,olive oil,olive oil,Quinoa Turkey Enchilada Stuffed Peppers
234,medium onion,onion,Quinoa Turkey Enchilada Stuffed Peppers
235,frozen corn,corn,Quinoa Turkey Enchilada Stuffed Peppers
236,jalapeno,jalapeno,Quinoa Turkey Enchilada Stuffed Peppers
237,ground turkey,turkey,Quinoa Turkey Enchilada Stuffed Peppers
238,cumin,cumin,Quinoa Turkey Enchilada Stuffed Peppers
239,chili powder,,Quinoa Turkey Enchilada Stuffed Peppers
240,can black beans,black bean,Quinoa Turkey Enchilada Stuffed Peppers
241,can enchilada sauce,,Quinoa Turkey Enchilada Stuffed Peppers
242,can diced tomatoes with chiles,tomato,Quinoa Turkey Enchilada Stuffed Peppers
243,lime juice,lime juice,Quinoa Turkey Enchilada Stuffed Peppers
244,cilantro,cilantro,Quinoa Turkey Enchilada Stuffed Peppers
245,large peppers,pepper,Quinoa Turkey Enchilada Stuffed Peppers
246,mixed cheese,cheese,Quinoa Turkey Enchilada Stuffed Peppers
247,+ 12oz can of tomato sauce,tomato,Emily’s Baked Ziti
248,can tomato paste,tomato,Emily’s Baked Ziti
249,can diced tomatoes,tomato,Emily’s Baked Ziti
250,garlic powder,garlic,Emily’s Baked Ziti
251,salt,salt,Emily’s Baked Ziti
252,pepper,pepper,Emily’s Baked Ziti
253,oregeno,,Emily’s Baked Ziti
254,sugar,sugar,Emily’s Baked Ziti
255,ground beef,beef,Emily’s Baked Ziti
256,box ziti,,Emily’s Baked Ziti
257,bag shredded mozzarella cheese,mozzarella cheese,Emily’s Baked Ziti
258,bag shredded Italian cheese,cheese,Emily’s Baked Ziti
259,sugar,sugar,Chocolate Covered Cherry Cake
260,all purpose flour,all purpose flour,Chocolate Covered Cherry Cake
261,cornstarch,starch,Chocolate Covered Cherry Cake
262,dark cocoa powder,cocoa,Chocolate Covered Cherry Cake
263,baking soda,baking soda,Chocolate Covered Cherry Cake
264,salt,salt,Chocolate Covered Cherry Cake
265,eggs,egg,Chocolate Covered Cherry Cake
266,egg yolk,egg,Chocolate Covered Cherry Cake
267,vegetable oil,vegetable oil,Chocolate Covered Cherry Cake
268,vanilla,vanilla,Chocolate Covered Cherry Cake
269,coffee,coffee,Chocolate Covered Cherry Cake
270,boiling water,,Chocolate Covered Cherry Cake
271,buttermilk,buttermilk,Chocolate Covered Cherry Cake
272,fresh cherries,cherries,Chocolate Covered Cherry Cake
273,sugar,sugar,Chocolate Covered Cherry Cake
274,water,,Chocolate Covered Cherry Cake
275,heavy whipping cream,cream,Chocolate Covered Cherry Cake
276,semi-sweet chocolate,chocolate,Chocolate Covered Cherry Cake
277,unsalted butter,butter,Chocolate Covered Cherry Cake
278,shortening,,Chocolate Covered Cherry Cake
279,salt,salt,Chocolate Covered Cherry Cake
280,vanilla extract,vanilla,Chocolate Covered Cherry Cake
281,fresh cherries,cherries,Chocolate Covered Cherry Cake
282,powdered sugar,sugar,Chocolate Covered Cherry Cake
283,light corn syrup,corn,Chocolate Covered Cherry Cake
284,dark chocolate chips,chocolate chips,Chocolate Covered Cherry Cake
285,heavy whipping cream,cream,Chocolate Covered Cherry Cake
286,fresh cherries to dip in chocolate ,chocolate,Chocolate Covered Cherry Cake
287,chicken breasts,chicken,Wasabi Teriyaki Chicken and Rice (Instant Pot or Stove Top)
288,salt and pepper,pepper,Wasabi Teriyaki Chicken and Rice (Instant Pot or Stove Top)
289,~2 tbsp vegetable oil,vegetable oil,Wasabi Teriyaki Chicken and Rice (Instant Pot or Stove Top)
290,apple cider vinegar,vinegar,Wasabi Teriyaki Chicken and Rice (Instant Pot or Stove Top)
291,dry sherry,sherry,Wasabi Teriyaki Chicken and Rice (Instant Pot or Stove Top)
292,soy sauce,soy sauce,Wasabi Teriyaki Chicken and Rice (Instant Pot or Stove Top)
293,honey,honey,Wasabi Teriyaki Chicken and Rice (Instant Pot or Stove Top)
294,wasabi,wasabi,Wasabi Teriyaki Chicken and Rice (Instant Pot or Stove Top)
295,garlic,garlic,Wasabi Teriyaki Chicken and Rice (Instant Pot or Stove Top)
296,fresh ginger,ginger,Wasabi Teriyaki Chicken and Rice (Instant Pot or Stove Top)
297,red bell pepper,bell pepper,Wasabi Teriyaki Chicken and Rice (Instant Pot or Stove Top)
298,bok choy,,Wasabi Teriyaki Chicken and Rice (Instant Pot or Stove Top)
299,carrots,carrot,Wasabi Teriyaki Chicken and Rice (Instant Pot or Stove Top)
300,edamame,,Wasabi Teriyaki Chicken and Rice (Instant Pot or Stove Top)
301,jasmine rice,jasmine,Wasabi Teriyaki Chicken and Rice (Instant Pot or Stove Top)
302,whole chicken,chicken,Instant Pot Roasted Balsamic Chicken
303,balsamic vinegar,vinegar,Instant Pot Roasted Balsamic Chicken
304,plus 1 tbsp olive oil,olive oil,Instant Pot Roasted Balsamic Chicken
305,salt,salt,Instant Pot Roasted Balsamic Chicken
306,pepper,pepper,Instant Pot Roasted Balsamic Chicken
307,herbs de Provence,,Instant Pot Roasted Balsamic Chicken
308,kosher salt,salt,Instant Pot Roasted Balsamic Chicken
309,white cooking wine,wine,Instant Pot Roasted Balsamic Chicken
310,chicken broth,chicken broth,Instant Pot Roasted Balsamic Chicken
311,chicken breasts,chicken,Andouille Sausage Chicken and Rice
312,chili powder,,Andouille Sausage Chicken and Rice
313,lemon herb seasoning,lemon,Andouille Sausage Chicken and Rice
314,garlic powder,garlic,Andouille Sausage Chicken and Rice
315,salt and pepper to taste,pepper,Andouille Sausage Chicken and Rice
316,olive oil,olive oil,Andouille Sausage Chicken and Rice
317,olive oil,olive oil,Andouille Sausage Chicken and Rice
318,onion,onion,Andouille Sausage Chicken and Rice
319,garlic,garlic,Andouille Sausage Chicken and Rice
320,green pepper,pepper,Andouille Sausage Chicken and Rice
321,yellow pepper,pepper,Andouille Sausage Chicken and Rice
322,andouille sausage,sage,Andouille Sausage Chicken and Rice
323,long grain white rice,rice,Andouille Sausage Chicken and Rice
324,saffron,saffron,Andouille Sausage Chicken and Rice
325,cumin,cumin,Andouille Sausage Chicken and Rice
326,oregano,oregano,Andouille Sausage Chicken and Rice
327,paprika,paprika,Andouille Sausage Chicken and Rice
328,chicken broth,chicken broth,Andouille Sausage Chicken and Rice
329,chunky salsa,salsa,Andouille Sausage Chicken and Rice
330,large egg,egg,Thai Curry Soup with Turkey Meatballs
331,of ground turkey,turkey,Thai Curry Soup with Turkey Meatballs
332,panko breadcrumbs,bread,Thai Curry Soup with Turkey Meatballs
333,lemongrass paste,lemongrass,Thai Curry Soup with Turkey Meatballs
334,cilantro,cilantro,Thai Curry Soup with Turkey Meatballs
335,lime juice,lime juice,Thai Curry Soup with Turkey Meatballs
336,green onions,onion,Thai Curry Soup with Turkey Meatballs
337,garlic,garlic,Thai Curry Soup with Turkey Meatballs
338,reduced-sodium soy sauce,soy sauce,Thai Curry Soup with Turkey Meatballs
339,finely grated ginger,ginger,Thai Curry Soup with Turkey Meatballs
340,kosher salt,salt,Thai Curry Soup with Turkey Meatballs
341,sugar snap peas,sugar,Thai Curry Soup with Turkey Meatballs
342,red peppers,pepper,Thai Curry Soup with Turkey Meatballs
343,package of dried rice noodles,rice,Thai Curry Soup with Turkey Meatballs
344,vegetable oil,vegetable oil,Thai Curry Soup with Turkey Meatballs
345,garlic,garlic,Thai Curry Soup with Turkey Meatballs
346,ginger powder,ginger,Thai Curry Soup with Turkey Meatballs
347,cans coconut milk,coconut,Thai Curry Soup with Turkey Meatballs
348,chicken broth,chicken broth,Thai Curry Soup with Turkey Meatballs
349,lime juice,lime juice,Thai Curry Soup with Turkey Meatballs
350,reduced sodium soy sauce,soy sauce,Thai Curry Soup with Turkey Meatballs
351,lemongrass paste,lemongrass,Thai Curry Soup with Turkey Meatballs
352,red curry paste,,Thai Curry Soup with Turkey Meatballs
353,red curry paste,,Thai Curry Soup with Turkey Meatballs
354,zest of 2 limes,lime,Honey Lime Vinaigrette
355,juice of 1 lime,lime,Honey Lime Vinaigrette
356,juice of 1 lemon,lemon,Honey Lime Vinaigrette
357,honey,honey,Honey Lime Vinaigrette
358,tahini,,Honey Lime Vinaigrette
359,rice wine vinegar,vinegar,Honey Lime Vinaigrette
360,kosher salt,salt,Honey Lime Vinaigrette
361,black pepper,black pepper,Honey Lime Vinaigrette
362,plus 2 tbsp olive oil,olive oil,Honey Lime Vinaigrette
363,plus 2 tbsp vegetable oil,vegetable oil,Honey Lime Vinaigrette
364,green onions,onion,Honey Lime Vinaigrette
365,small shells,,Fresh Herb Mac and Cheese
366,butter,butter,Fresh Herb Mac and Cheese
367,sweet onion,onion,Fresh Herb Mac and Cheese
368,seasoning salt,salt,Fresh Herb Mac and Cheese
369,pepper,pepper,Fresh Herb Mac and Cheese
370,nutmeg,nutmeg,Fresh Herb Mac and Cheese
371,chili powder,,Fresh Herb Mac and Cheese
372,all purpose flour,all purpose flour,Fresh Herb Mac and Cheese
373,milk,milk,Fresh Herb Mac and Cheese
374,mixed cheddar cheeses,cheddar cheese,Fresh Herb Mac and Cheese
375,worcestershire sauce,,Fresh Herb Mac and Cheese
376,"2 links sweet Italian chicken sausage, I use al fresco brand",chicken,Fresh Herb Mac and Cheese
377,olive oil,olive oil,Fresh Herb Mac and Cheese
378,small head of broccoli,broccoli,Fresh Herb Mac and Cheese
379,plain panko bread crumbs,bread,Fresh Herb Mac and Cheese
380,melted butter,butter,Fresh Herb Mac and Cheese
381,fresh sage,sage,Fresh Herb Mac and Cheese
382,fresh thyme,thyme,Fresh Herb Mac and Cheese
383,fresh rosemary,rosemary,Fresh Herb Mac and Cheese
384,chili powder,,Chicken Lime Tacos (Instant Pot or Slow Cooker)
385,sea salt,salt,Chicken Lime Tacos (Instant Pot or Slow Cooker)
386,black pepper,black pepper,Chicken Lime Tacos (Instant Pot or Slow Cooker)
387,oregano,oregano,Chicken Lime Tacos (Instant Pot or Slow Cooker)
388,paprika,paprika,Chicken Lime Tacos (Instant Pot or Slow Cooker)
389,garlic powder,garlic,Chicken Lime Tacos (Instant Pot or Slow Cooker)
390,onion powder,onion,Chicken Lime Tacos (Instant Pot or Slow Cooker)
391,cumin,cumin,Chicken Lime Tacos (Instant Pot or Slow Cooker)
392,of red pepper flakes,pepper,Chicken Lime Tacos (Instant Pot or Slow Cooker)
393,cloves,clove,Chicken Lime Tacos (Instant Pot or Slow Cooker)
394,zest of 1 lime,lime,Chicken Lime Tacos (Instant Pot or Slow Cooker)
395,juice of 1 lime,lime,Chicken Lime Tacos (Instant Pot or Slow Cooker)
396,chicken broth,chicken broth,Chicken Lime Tacos (Instant Pot or Slow Cooker)
397,boneless chicken thighs,chicken,Chicken Lime Tacos (Instant Pot or Slow Cooker)
398,corn or flour tortillas,corn,Chicken Lime Tacos (Instant Pot or Slow Cooker)
399,"toppings: white onion, cilantro, lime juice, corn salsa (see recipe)",lime juice,Chicken Lime Tacos (Instant Pot or Slow Cooker)
400,semi-sweet chocolate chopped,chocolate,Nutella Mousse Cake
401,cocoa powder,cocoa,Nutella Mousse Cake
402,strong hot coffee,coffee,Nutella Mousse Cake
403,all purpose flour,all purpose flour,Nutella Mousse Cake
404,salt,salt,Nutella Mousse Cake
405,baking powder,baking powder,Nutella Mousse Cake
406,vegetable oil,vegetable oil,Nutella Mousse Cake
407,sugar,sugar,Nutella Mousse Cake
408,vanilla extract,vanilla,Nutella Mousse Cake
409,buttermilk,buttermilk,Nutella Mousse Cake
410,egg,egg,Nutella Mousse Cake
411,cream cheese,cream cheese,Nutella Mousse Cake
412,Nutella,nut,Nutella Mousse Cake
413,powdered sugar,sugar,Nutella Mousse Cake
414,vanilla,vanilla,Nutella Mousse Cake
415,salt,salt,Nutella Mousse Cake
416,heavy cream,heavy cream,Nutella Mousse Cake
417,large egg yolks,egg,Nutella Mousse Cake
418,sugar,sugar,Nutella Mousse Cake
419,heavy cream,heavy cream,Nutella Mousse Cake
420,semi-sweet chocolate chips,chocolate chips,Nutella Mousse Cake
421,dark chocolate chips,chocolate chips,Nutella Mousse Cake
422,Nutella,nut,Nutella Mousse Cake
423,dark chocolate chips,chocolate chips,Nutella Mousse Cake
424,heavy cream,heavy cream,Nutella Mousse Cake
425,beef chuck roast,beef,Barbacoa Beef (Instant Pot or Slow Cooker)
426,salt and pepper to taste,pepper,Barbacoa Beef (Instant Pot or Slow Cooker)
427,olive oil,olive oil,Barbacoa Beef (Instant Pot or Slow Cooker)
428,garlic cloves,garlic,Barbacoa Beef (Instant Pot or Slow Cooker)
429,sweet onion,onion,Barbacoa Beef (Instant Pot or Slow Cooker)
430,large carrots,carrot,Barbacoa Beef (Instant Pot or Slow Cooker)
431,chipotle peppers in adobe sauce,pepper,Barbacoa Beef (Instant Pot or Slow Cooker)
432,cumin,cumin,Barbacoa Beef (Instant Pot or Slow Cooker)
433,oregano,oregano,Barbacoa Beef (Instant Pot or Slow Cooker)
434,ground cloves,clove,Barbacoa Beef (Instant Pot or Slow Cooker)
435,chili powder,,Barbacoa Beef (Instant Pot or Slow Cooker)
436,beef broth,beef broth,Barbacoa Beef (Instant Pot or Slow Cooker)
437,apple cider vinegar,vinegar,Barbacoa Beef (Instant Pot or Slow Cooker)
438,graham cracker crumbs,rum,Instant Pot Key Lime Pie
439,light brown sugar,sugar,Instant Pot Key Lime Pie
440,unsalted butter,butter,Instant Pot Key Lime Pie
441,large egg yolks,egg,Instant Pot Key Lime Pie
442,sugar,sugar,Instant Pot Key Lime Pie
443,key lime juice,lime juice,Instant Pot Key Lime Pie
444,zest 1 lime,lime,Instant Pot Key Lime Pie
445,can sweetened condensed milk,milk,Instant Pot Key Lime Pie
446,sour cream,sour cream,Instant Pot Key Lime Pie
447,heavy whipping cream,cream,Instant Pot Key Lime Pie
448,sugar,sugar,Instant Pot Key Lime Pie
449,key lime juice,lime juice,Instant Pot Key Lime Pie
450,all purpose flour,all purpose flour,Blueberry Zucchini Muffins
451,coconut flour,coconut,Blueberry Zucchini Muffins
452,baking soda,baking soda,Blueberry Zucchini Muffins
453,salt,salt,Blueberry Zucchini Muffins
454,zucchini,zucchini,Blueberry Zucchini Muffins
455,sugar,sugar,Blueberry Zucchini Muffins
456,large eggs,egg,Blueberry Zucchini Muffins
457,milk,milk,Blueberry Zucchini Muffins
458,vegetable oil,vegetable oil,Blueberry Zucchini Muffins
459,blueberries,blueberries,Blueberry Zucchini Muffins
460,light brown sugar,sugar,Blueberry Zucchini Muffins
461,coconut flour,coconut,Blueberry Zucchini Muffins
462,oats,oat,Blueberry Zucchini Muffins
463,butter,butter,Blueberry Zucchini Muffins
464,can Thai Kitchen Coconut Cream,coconut,Dairy Free Instant Pot Yogurt
465,cans Coco Lopez Cream of Coconut,coconut,Dairy Free Instant Pot Yogurt
466,probiotic capsules,,Dairy Free Instant Pot Yogurt
467,packet gelatin,gelatin,Dairy Free Instant Pot Yogurt
468,smooth peanut butter,peanut butter,Asian Noodles with Peanut Sauce
469,honey,honey,Asian Noodles with Peanut Sauce
470,Peanut Sauce,peanut,Asian Noodles with Peanut Sauce
471,dark brown sugar,sugar,Asian Noodles with Peanut Sauce
472,ground ginger powder,ginger,Asian Noodles with Peanut Sauce
473,garlic,garlic,Asian Noodles with Peanut Sauce
474,lime juice,lime juice,Asian Noodles with Peanut Sauce
475,sesame oil,sesame oil,Asian Noodles with Peanut Sauce
476,Sriracha chili sauce,,Asian Noodles with Peanut Sauce
477,rice vinegar,vinegar,Asian Noodles with Peanut Sauce
478,soy sauce,soy sauce,Asian Noodles with Peanut Sauce
479,chicken broth,chicken broth,Asian Noodles with Peanut Sauce
480,chicken breast,chicken,Asian Noodles with Peanut Sauce
